Hidden Layers,Activation Function,Dropout Rate,Loss Function,Optimizer,Learning Rate,Weight Decay,Epochs,Batch Size,Seed,Test Size,N_Samples,Best Loss,Patience,Patience Counter,Average Accuracy,Average Accuracy (%)
"[32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,300,34.01459884643555,100,100,0.9547593034803867,95.48%
"[32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,400,31.392852783203125,100,100,0.9479576162993908,94.8%
"[32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,500,33.7006721496582,100,100,0.9473649561405182,94.74%
"[32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,35.52983474731445,100,100,0.9462881982326508,94.63%
"[32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,1000,22.84268569946289,100,100,0.9348762780427933,93.49%
"[32, 16]",ReLU,0.3,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,300,124.453125,100,100,0.9215723350644112,92.16%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,194.81446838378906,100,100,0.9116711392998695,91.17%
"[32, 16]",ReLU,0.3,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,107.8970947265625,100,100,0.9085592478513718,90.86%
"[32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,2000,25.91338539123535,100,100,0.9031585305929184,90.32%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,211.8515167236328,100,100,0.9020732343196869,90.21%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,400,219.7303924560547,100,100,0.8997556939721107,89.98%
"[32, 16, 8]",ReLU,0.2,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,120.62691497802734,100,100,0.898349367082119,89.83%
"[64, 32, 16]",ReLU,0.2,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,30.18267822265625,100,100,0.8956354483962059,89.56%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,16,42,0.2,400,214.9339599609375,100,100,0.8878361210227013,88.78%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,223.21792602539062,100,100,0.885533407330513,88.55%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,32,42,0.2,400,223.21792602539062,100,100,0.885533407330513,88.55%
"[32, 16]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,400,369.03070068359375,100,100,0.8734780997037888,87.35%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,8,42,0.2,400,250.88742065429688,100,100,0.8655975311994553,86.56%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.0001,0.0001,6000,64,42,0.2,400,247.30410766601562,100,100,0.8639822006225586,86.4%
"[32, 16]",ReLU,0.4,MSELoss,Adam,0.001,0.0001,6000,32,42,0.2,400,122.14892578125,100,100,0.855820506811142,85.58%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,400,603.4859619140625,100,100,0.8312267065048218,83.12%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,500,563.8314819335938,100,100,0.8169026225805283,81.69%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,500,563.8314819335938,100,100,0.8169026225805283,81.69%
"[16, 8]",ReLU,0.4,MSELoss,Adam,0.0001,0.001,1000,32,42,0.4,1000,629.54638671875,100,0,0.7726583480834961,77.27%
"[16, 8]",ReLU,0.4,MSELoss,Adam,0.0001,0.001,1000,32,42,0.4,1000,629.54638671875,100,0,0.7726583480834961,77.27%
"[16, 8]",ReLU,0.4,MSELoss,Adam,0.0001,0.01,1000,32,42,0.4,1000,507.1251220703125,100,0,0.7724305987358093,77.24%
"[32, 16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,400,1212.510498046875,100,100,0.7643767148256302,76.44%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,1000,32,42,0.4,1000,1010.9337768554688,100,12,0.7384583652019501,73.85%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,300,1950.2926025390625,100,100,0.6873089671134949,68.73%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,6000,32,42,0.2,200,1805.0166015625,100,100,0.678936779499054,67.89%
"[16, 8]",ReLU,0.5,MSELoss,Adam,0.0001,0.001,1000,32,42,0.2,500,1704.478271484375,100,8,0.6559974253177643,65.6%
"[16, 8]",ReLU,0.4,MSELoss,Adam,0.0001,0.01,1000,32,42,0.4,500,1472.7940673828125,100,0,0.6531932055950165,65.32%
