tc_id,date_added,owner_id,owner,web_link,indicator_type,last_modified,rating,confidence,description,summary,observations,last_observed,ip,legacy_link,tags,source,associatedGroups.data,indicator,attribute_date_added,attribute,attribute_last_modified,attribute_created_by,attribute_created_by_first,attribute_created_by_last,attribute_created_by_pseudonym,attr.createdBy.owner
5629499596039551,2026-04-07T12:09:09Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499596039551,Address,2026-04-09T16:25:39Z,3.0,80.0,INC9480324,40.124.175.75,10167,2026-04-09T00:00:00Z,40.124.175.75,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=40.124.175.75&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,40.124.175.75,2026-04-07T12:09:09Z,INC9480324,2026-04-07T12:09:09Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
5629499586003990,2026-02-02T14:19:20Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499586003990,Address,2026-04-09T16:25:39Z,3.0,75.0,INC9391086,20.221.72.102,492774,2026-04-09T00:00:00Z,20.221.72.102,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=20.221.72.102&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 471298, 'name': 'DHA Splunk API', 'lastUsed': '2026-04-09T16:23:47Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 30479, 'name': 'CMS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 23575, 'name': 'CDC Splunk API', 'lastUsed': '2026-04-09T16:14:42Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,20.221.72.102,2026-02-02T14:19:20Z,INC9391086,2026-02-02T14:19:20Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
6755399487004191,2026-01-14T14:12:01Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/6755399487004191,Address,2026-04-09T16:25:38Z,3.0,73.0,INC9366814,207.90.244.3,568666,2026-04-09T00:00:00Z,207.90.244.3,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=207.90.244.3&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,207.90.244.3,2026-01-14T14:12:01Z,INC9366814,2026-01-14T14:12:01Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
5629499580023420,2025-12-11T14:47:17Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499580023420,Address,2026-04-09T16:25:38Z,3.0,68.0,INC9328182,137.184.112.192,14485,2026-04-09T00:00:00Z,137.184.112.192,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=137.184.112.192&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,137.184.112.192,2025-12-11T14:47:17Z,INC9328182,2025-12-11T14:47:17Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
5629499578170429,2025-11-26T17:40:57Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499578170429,Address,2026-04-09T16:25:38Z,3.0,62.0,RITM0628389,65.49.1.172,1701376,2026-04-09T00:00:00Z,65.49.1.172,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=65.49.1.172&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 471298, 'name': 'DHA Splunk API', 'lastUsed': '2026-04-09T16:23:47Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 30479, 'name': 'CMS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 23575, 'name': 'CDC Splunk API', 'lastUsed': '2026-04-09T16:14:42Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,65.49.1.172,2025-11-26T17:40:57Z,RITM0628389,2025-11-26T17:40:57Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
5629499555060651,2025-06-16T17:34:58Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499555060651,Address,2026-04-09T16:25:38Z,3.0,43.0,RITM0589984,64.62.197.80,2965448,2026-04-09T00:00:00Z,64.62.197.80,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=64.62.197.80&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 471298, 'name': 'DHA Splunk API', 'lastUsed': '2026-04-09T16:23:47Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 30479, 'name': 'CMS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23769, 'name': 'VA CSOC CTS Splunk', 'lastUsed': '2025-11-13T07:08:13Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23577, 'name': 'HHS Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 23575, 'name': 'CDC Splunk API', 'lastUsed': '2026-04-09T16:14:42Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,64.62.197.80,2025-06-16T17:34:58Z,RITM0589984,2025-06-16T17:34:58Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
5629499563359887,2025-08-13T15:08:14Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499563359887,Address,2026-04-09T16:25:37Z,3.0,50.0,RITM0606742,65.49.1.89,4118969,2026-04-09T00:00:00Z,65.49.1.89,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=65.49.1.89&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 471298, 'name': 'DHA Splunk API', 'lastUsed': '2026-04-09T16:23:47Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 30479, 'name': 'CMS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23769, 'name': 'VA CSOC CTS Splunk', 'lastUsed': '2025-11-13T07:08:13Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23577, 'name': 'HHS Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 23575, 'name': 'CDC Splunk API', 'lastUsed': '2026-04-09T16:14:42Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,65.49.1.89,2025-08-13T15:08:14Z,RITM0606742,2025-08-13T15:08:14Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
6755399487000226,2026-01-09T15:38:56Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/6755399487000226,Address,2026-04-09T16:25:36Z,3.0,70.0,RITM0637479,65.49.1.98,1651259,2026-04-09T00:00:00Z,65.49.1.98,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=65.49.1.98&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 471298, 'name': 'DHA Splunk API', 'lastUsed': '2026-04-09T16:23:47Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 30479, 'name': 'CMS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 23575, 'name': 'CDC Splunk API', 'lastUsed': '2026-04-09T16:14:42Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,65.49.1.98,2026-01-09T15:38:56Z,RITM0637479,2026-01-09T15:38:56Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
5629499578170400,2025-11-26T17:40:34Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/5629499578170400,Address,2026-04-09T16:25:36Z,3.0,64.0,RITM0628389,64.62.156.108,2526528,2026-04-09T00:00:00Z,64.62.156.108,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=64.62.156.108&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 471298, 'name': 'DHA Splunk API', 'lastUsed': '2026-04-09T16:23:47Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 30479, 'name': 'CMS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23586, 'name': 'IHS Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,64.62.156.108,2025-11-26T17:40:34Z,RITM0628389,2025-11-26T17:40:34Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
6755399501091096,2026-03-26T11:44:41Z,9,HTOC Org,https://hvs.threatconnect.com/#/details/indicators/6755399501091096,Address,2026-04-09T16:25:35Z,3.0,80.0,INC9464932,87.236.176.163,1020,2026-04-09T00:00:00Z,87.236.176.163,https://hvs.threatconnect.com/auth/indicators/details/address.xhtml?address=87.236.176.163&owner=HTOC+Org,"[{'id': 2076981, 'name': 'SOAR Indicator PB', 'lastUsed': '2026-04-09T13:55:02Z'}, {'id': 2023876, 'name': 'VA OIT CSOC CTS Splunk', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 275607, 'name': 'Web Scanner', 'lastUsed': '2026-04-01T12:25:42Z'}, {'id': 35760, 'name': 'OS Splunk API', 'description': 'Observations reported by the HHS Ofice of the Secretary (OS) Splunk Instance.', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 35057, 'name': 'FDA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23667, 'name': 'HRSA Splunk API', 'lastUsed': '2026-04-09T16:25:04Z'}, {'id': 23630, 'name': 'NIH Splunk API', 'lastUsed': '2026-04-09T16:24:00Z'}, {'id': 23576, 'name': 'Observed', 'lastUsed': '2026-04-09T16:25:39Z'}, {'id': 749, 'name': 'malicious', 'lastUsed': '2026-04-07T12:09:24Z'}]",,,87.236.176.163,2026-03-26T11:44:41Z,INC9464932,2026-03-26T11:44:41Z,43204519559205009624,NIH,SOAR,APIUser7Lnh3,HTOC Org
