,API_UserName,obs_date,OpDiv,observations,curr_date
103.224.182.213,50189120947314147395,2025-04-14,NIH,3,2025-04-14
104.18.68.40,50189120947314147395,2025-04-14,NIH,21,2025-04-14
104.18.69.40,50189120947314147395,2025-04-14,NIH,27,2025-04-14
104.21.112.1,50189120947314147395,2025-04-14,NIH,1096,2025-04-14
104.21.16.1,50189120947314147395,2025-04-14,NIH,1290,2025-04-14
104.21.32.1,50189120947314147395,2025-04-14,NIH,2456,2025-04-14
104.21.48.1,50189120947314147395,2025-04-14,NIH,1142,2025-04-14
104.21.53.185,50189120947314147395,2025-04-14,NIH,19,2025-04-14
104.21.64.1,50189120947314147395,2025-04-14,NIH,822,2025-04-14
104.21.80.1,50189120947314147395,2025-04-14,NIH,1665,2025-04-14
104.21.94.85,50189120947314147395,2025-04-14,NIH,2,2025-04-14
104.21.96.1,50189120947314147395,2025-04-14,NIH,782,2025-04-14
104.247.82.51,50189120947314147395,2025-04-14,NIH,1,2025-04-14
107.167.110.211,50189120947314147395,2025-04-14,NIH,31,2025-04-14
107.167.110.216,50189120947314147395,2025-04-14,NIH,32,2025-04-14
13.248.169.48,50189120947314147395,2025-04-14,NIH,6315,2025-04-14
13.248.213.45,50189120947314147395,2025-04-14,NIH,174,2025-04-14
13.248.243.5,50189120947314147395,2025-04-14,NIH,55,2025-04-14
141.193.213.20,50189120947314147395,2025-04-14,NIH,598,2025-04-14
141.193.213.21,50189120947314147395,2025-04-14,NIH,904,2025-04-14
15.197.142.173,50189120947314147395,2025-04-14,NIH,29,2025-04-14
15.197.148.33,50189120947314147395,2025-04-14,NIH,70,2025-04-14
15.197.225.128,50189120947314147395,2025-04-14,NIH,71,2025-04-14
151.101.130.133,50189120947314147395,2025-04-14,NIH,2635,2025-04-14
151.101.194.133,50189120947314147395,2025-04-14,NIH,2693,2025-04-14
151.101.2.133,50189120947314147395,2025-04-14,NIH,2940,2025-04-14
151.101.66.133,50189120947314147395,2025-04-14,NIH,2910,2025-04-14
