indicator,predicted_prob,threshold,predicted,actual,reward
102.129.153.43,0.28146538,0.7,0,0,1
102.129.153.43,0.08460568,0.7,0,0,1
102.129.153.43,0.09942225,0.7,0,0,1
102.129.153.43,0.1830737,0.7,0,0,1
102.129.153.43,0.2844687,0.7,0,0,1
102.129.153.43,0.03469704,0.4,0,0,1
102.129.153.43,0.17496638,0.7,0,0,1
102.129.153.43,0.17178692,0.7,0,0,1
102.129.153.43,0.084610425,0.7,0,0,1
102.129.153.43,0.08036961,0.7,0,0,1
102.129.153.43,0.0940276,0.7,0,0,1
102.129.153.43,0.034697056,0.5,0,0,1
102.129.153.43,0.053170305,0.7,0,0,1
102.129.153.43,0.16247445,0.7,0,0,1
102.129.153.43,0.9487921,0.7,1,0,0
102.129.153.43,0.034549423,0.4,0,0,1
102.129.153.43,0.034549423,0.4,0,0,1
102.129.153.43,0.034549423,0.4,0,0,1
102.129.153.43,0.034721997,0.6,0,0,1
102.129.153.43,0.034697056,0.7,0,0,1
102.129.153.43,0.17717496,0.4,0,0,1
102.129.153.43,0.034697056,0.4,0,0,1
102.129.153.43,0.08698777,0.4,0,0,1
102.129.153.43,0.034541644,0.4,0,0,1
102.129.153.43,0.053104524,0.4,0,0,1
102.129.153.43,0.034602012,0.4,0,0,1
102.129.153.43,0.0345948,0.5,0,0,1
102.129.153.43,0.10498378,0.4,0,0,1
102.129.153.43,0.06311589,0.4,0,0,1
102.129.153.43,0.03439506,0.4,0,0,1
102.129.153.43,0.034703683,0.4,0,0,1
102.129.153.43,0.7518353,0.4,1,0,0
102.129.153.43,0.14091958,0.7,0,0,1
102.129.153.43,0.034701258,0.7,0,0,1
102.129.153.43,0.034721997,0.7,0,0,1
102.129.153.43,0.034625944,0.7,0,0,1
102.129.153.43,0.034601994,0.7,0,0,1
102.129.153.43,0.07930188,0.7,0,0,1
102.129.153.43,0.91664004,0.7,1,0,0
102.129.153.43,0.08374239,0.4,0,0,1
102.129.153.43,0.09444408,0.4,0,0,1
102.129.153.43,0.080482446,0.4,0,0,1
102.129.153.43,0.50608295,0.4,1,0,0
102.129.153.43,0.03460139,0.5,0,0,1
102.129.153.43,0.034721997,0.5,0,0,1
102.129.153.43,0.06300801,0.5,0,0,1
102.129.153.43,0.11262641,0.5,0,0,1
102.129.153.43,0.053104714,0.5,0,0,1
102.129.153.43,0.17408612,0.5,0,0,1
102.129.153.43,0.11336302,0.5,0,0,1
102.129.153.43,0.1172657,0.5,0,0,1
102.129.153.43,0.034549423,0.5,0,0,1
102.129.153.43,0.034599576,0.5,0,0,1
102.129.153.43,0.03469704,0.5,0,0,1
102.129.153.43,0.1329263,0.5,0,0,1
102.129.153.43,0.034721997,0.5,0,0,1
102.129.153.43,0.14015818,0.5,0,0,1
102.129.153.43,0.034657616,0.5,0,0,1
102.129.153.43,0.034697022,0.5,0,0,1
102.129.153.43,0.1627492,0.5,0,0,1
102.129.153.43,0.8550692,0.5,1,0,0
102.129.153.43,0.034547564,0.4,0,0,1
102.129.153.43,0.034703683,0.4,0,0,1
102.129.153.43,0.106391065,0.4,0,0,1
102.129.153.43,0.18291262,0.4,0,0,1
102.129.153.43,0.087126754,0.4,0,0,1
102.129.153.43,0.034703683,0.4,0,0,1
102.129.153.43,0.034602012,0.4,0,0,1
102.129.153.43,0.034693256,0.4,0,0,1
102.129.153.43,0.034429647,0.5,0,0,1
102.129.153.43,0.03462596,0.7,0,0,1
102.129.153.43,0.11937807,0.4,0,0,1
102.129.153.43,0.9566838,0.4,1,0,0
102.129.153.43,0.09091772,0.7,0,0,1
102.129.153.43,0.034657646,0.7,0,0,1
102.129.153.43,0.03472193,0.7,0,0,1
102.129.153.43,0.15849897,0.7,0,0,1
102.129.153.43,0.11949364,0.7,0,0,1
102.129.153.43,0.19363715,0.7,0,0,1
102.129.153.43,0.08632973,0.7,0,0,1
102.129.153.43,0.034602012,0.7,0,0,1
102.129.153.43,0.17653617,0.7,0,0,1
102.129.153.43,0.03467766,0.7,0,0,1
102.129.153.43,0.034625944,0.7,0,0,1
102.129.153.43,0.034625944,0.7,0,0,1
102.129.153.43,0.034549423,0.7,0,0,1
102.129.153.43,0.12926155,0.7,0,0,1
102.129.153.43,0.03453026,0.7,0,0,1
102.129.153.43,0.066794604,0.7,0,0,1
