indicator,total_predictions,times_predicted_seen,times_actually_seen,correct_predictions,accuracy,avg_predicted_prob,avg_threshold
15.235.218.150,90,0,0,90,1.0,0.10743271,0.4066666666666667
156.146.63.162,90,1,0,89,0.9888888888888889,0.10443151,0.4888888888888889
156.146.63.170,90,1,0,89,0.9888888888888889,0.08891296,0.45
156.146.63.163,90,1,0,89,0.9888888888888889,0.09184759,0.48444444444444446
102.129.153.158,90,2,0,88,0.9777777777777777,0.10330644,0.6922222222222222
146.71.50.198,90,2,0,88,0.9777777777777777,0.10980051,0.45333333333333337
107.180.119.251,90,2,0,88,0.9777777777777777,0.10594328,0.5377777777777778
149.36.49.225,90,2,0,88,0.9777777777777777,0.10882331,0.5655555555555556
156.146.63.132,90,2,0,88,0.9777777777777777,0.11145828,0.5833333333333334
156.146.63.167,90,2,0,88,0.9777777777777777,0.10330057,0.4388888888888889
156.146.63.168,90,2,0,88,0.9777777777777777,0.09609706,0.5533333333333333
156.146.63.164,90,2,0,88,0.9777777777777777,0.098027855,0.5233333333333333
156.146.63.133,90,2,0,88,0.9777777777777777,0.09774251,0.5622222222222223
146.70.204.179,90,2,0,88,0.9777777777777777,0.09776925,0.5066666666666667
102.165.16.161,90,3,0,87,0.9666666666666667,0.10718012,0.5388888888888889
104.18.32.191,90,3,0,87,0.9666666666666667,0.11143672,0.43333333333333335
156.146.63.173,90,3,0,87,0.9666666666666667,0.0977596,0.5177777777777778
156.146.63.130,90,3,0,87,0.9666666666666667,0.10526386,0.45222222222222225
113.96.236.11,90,3,0,87,0.9666666666666667,0.115994625,0.5988888888888889
104.21.54.132,90,3,0,87,0.9666666666666667,0.11848892,0.5066666666666667
102.129.153.71,90,4,0,86,0.9555555555555556,0.11093754,0.4966666666666667
156.146.63.169,90,4,0,86,0.9555555555555556,0.1157775,0.5544444444444444
156.146.63.131,90,4,0,86,0.9555555555555556,0.10143925,0.6211111111111111
104.21.3.76,90,4,0,86,0.9555555555555556,0.124618,0.5233333333333333
149.102.250.14,90,4,0,86,0.9555555555555556,0.12797691,0.5366666666666666
143.95.44.89,90,5,0,85,0.9444444444444444,0.12860371,0.5111111111111111
104.160.6.2,90,5,0,85,0.9444444444444444,0.11821403,0.57
104.21.61.32,90,5,0,85,0.9444444444444444,0.12135483,0.5133333333333334
149.88.17.131,90,5,0,85,0.9444444444444444,0.1379536,0.5388888888888889
156.146.63.171,90,5,0,85,0.9444444444444444,0.12045964,0.6144444444444445
156.146.63.166,90,6,0,84,0.9333333333333333,0.13576545,0.5511111111111111
102.129.153.43,90,6,0,84,0.9333333333333333,0.1246025,0.5388888888888889
156.146.63.172,90,6,0,84,0.9333333333333333,0.12630825,0.4455555555555556
156.146.63.165,90,6,0,84,0.9333333333333333,0.14258672,0.6033333333333333
149.88.27.231,90,6,0,84,0.9333333333333333,0.13607907,0.5144444444444444
104.21.47.124,90,7,0,83,0.9222222222222223,0.14053878,0.5288888888888889
146.70.57.34,90,8,0,82,0.9111111111111111,0.14547274,0.5877777777777777
149.154.167.220,90,8,0,82,0.9111111111111111,0.15658382,0.5033333333333333
156.146.63.174,68,7,0,61,0.8970588235294118,0.15721488,0.526470588235294
104.21.48.1,90,1,90,1,0.011111111111111112,0.099488184,0.5633333333333332
