date,indicator,seen
2025-01-01,104.21.48.1,0
2025-01-02,104.21.48.1,0
2025-01-03,104.21.48.1,0
2025-01-04,104.21.48.1,0
2025-01-05,104.21.48.1,0
2025-01-06,104.21.48.1,0
2025-01-07,104.21.48.1,0
2025-01-08,104.21.48.1,0
2025-01-09,104.21.48.1,0
2025-01-10,104.21.48.1,0
2025-01-11,104.21.48.1,0
2025-01-12,104.21.48.1,0
2025-01-13,104.21.48.1,0
2025-01-14,104.21.48.1,0
2025-01-15,104.21.48.1,0
2025-01-16,104.21.48.1,0
2025-01-17,104.21.48.1,0
2025-01-18,104.21.48.1,0
2025-01-19,104.21.48.1,0
2025-01-20,104.21.48.1,0
2025-01-21,104.21.48.1,0
2025-01-22,104.21.48.1,0
2025-01-23,104.21.48.1,1
2025-01-24,104.21.48.1,1
2025-01-25,104.21.48.1,1
2025-01-26,104.21.48.1,1
2025-01-27,104.21.48.1,1
2025-01-28,104.21.48.1,1
2025-01-29,104.21.48.1,1
2025-01-30,104.21.48.1,1
2025-01-31,104.21.48.1,1
2025-02-01,104.21.48.1,1
2025-02-02,104.21.48.1,1
2025-02-03,104.21.48.1,1
2025-02-04,104.21.48.1,1
2025-02-05,104.21.48.1,1
2025-02-06,104.21.48.1,1
2025-02-07,104.21.48.1,1
2025-02-08,104.21.48.1,1
2025-02-09,104.21.48.1,1
2025-02-10,104.21.48.1,1
2025-02-11,104.21.48.1,1
2025-02-12,104.21.48.1,1
2025-02-13,104.21.48.1,1
2025-02-14,104.21.48.1,1
2025-02-15,104.21.48.1,1
2025-02-16,104.21.48.1,1
2025-02-17,104.21.48.1,1
2025-02-18,104.21.48.1,1
2025-02-19,104.21.48.1,1
2025-02-20,104.21.48.1,1
2025-02-21,104.21.48.1,1
2025-02-22,104.21.48.1,1
2025-02-23,104.21.48.1,1
2025-02-24,104.21.48.1,1
2025-02-25,104.21.48.1,1
2025-02-26,104.21.48.1,1
2025-02-27,104.21.48.1,1
2025-02-28,104.21.48.1,1
2025-03-01,104.21.48.1,1
2025-03-02,104.21.48.1,1
2025-03-03,104.21.48.1,1
2025-03-04,104.21.48.1,1
2025-03-05,104.21.48.1,1
2025-03-06,104.21.48.1,1
2025-03-07,104.21.48.1,1
2025-03-08,104.21.48.1,1
2025-03-09,104.21.48.1,1
2025-03-10,104.21.48.1,1
2025-03-11,104.21.48.1,1
2025-03-12,104.21.48.1,1
2025-03-13,104.21.48.1,1
2025-03-14,104.21.48.1,1
2025-03-15,104.21.48.1,1
2025-03-16,104.21.48.1,1
2025-03-17,104.21.48.1,1
2025-03-18,104.21.48.1,1
2025-03-19,104.21.48.1,1
2025-03-20,104.21.48.1,1
2025-03-21,104.21.48.1,1
2025-03-22,104.21.48.1,0
2025-03-23,104.21.48.1,0
2025-03-24,104.21.48.1,1
2025-03-25,104.21.48.1,1
2025-03-26,104.21.48.1,1
2025-03-27,104.21.48.1,1
2025-03-28,104.21.48.1,1
2025-03-29,104.21.48.1,1
2025-03-30,104.21.48.1,1
2025-03-31,104.21.48.1,1
2025-04-01,104.21.48.1,1
2025-04-02,104.21.48.1,1
2025-04-03,104.21.48.1,1
2025-04-04,104.21.48.1,1
2025-04-05,104.21.48.1,1
2025-04-06,104.21.48.1,1
2025-04-07,104.21.48.1,1
2025-04-08,104.21.48.1,1
2025-04-09,104.21.48.1,1
2025-04-10,104.21.48.1,1
2025-04-11,104.21.48.1,1
2025-04-12,104.21.48.1,1
2025-04-13,104.21.48.1,1
2025-04-14,104.21.48.1,1
2025-04-15,104.21.48.1,1
2025-04-16,104.21.48.1,1
2025-04-17,104.21.48.1,1
2025-04-18,104.21.48.1,1
2025-04-19,104.21.48.1,1
2025-04-20,104.21.48.1,1
2025-04-21,104.21.48.1,1
