indicator,seen_today,freq_7,freq_30,rule_today,prob_today,rule_7d,prob_7d,rule_14d,prob_14d,rule_30d,prob_30d
104.18.32.191,1,2.0,7.0,1,0.1598,1,0.9919,1,0.9932,1,0.9989
104.21.54.132,1,7.0,27.0,1,0.8191,1,1.0,1,1.0,1,1.0
104.21.48.1,1,7.0,30.0,1,0.576,1,1.0,1,1.0,1,1.0
185.253.162.21,1,3.0,13.0,1,0.2013,1,0.9998,1,0.9994,1,0.9999
156.146.63.180,1,2.0,5.0,1,0.1673,1,0.9914,1,0.9904,1,0.9977
156.146.63.170,1,3.0,6.0,1,0.3626,1,0.9997,1,0.9979,1,0.9988
89.42.231.140,1,2.0,2.0,1,0.2241,1,0.9898,1,0.9837,1,0.9927
www.emergencylighting.com/,1,1.0,1.0,1,0.0932,1,0.7931,1,0.9274,1,0.9857
64.64.112.158,1,3.0,10.0,1,0.3771,1,0.9997,1,0.999,1,0.9997
66.22.212.131,1,5.0,24.0,1,0.2977,1,1.0,1,1.0,1,1.0
www.shorturl.at/,1,5.0,15.0,1,0.679,1,1.0,1,1.0,1,1.0
34.160.111.145,1,7.0,14.0,1,0.9854,1,1.0,1,1.0,1,1.0
104.160.6.2,0,0.0,2.0,0,0.0089,0,0.0289,0,0.1298,1,0.7539
102.165.16.161,0,0.0,0.0,0,0.0026,0,0.0148,0,0.0227,0,0.2529
143.95.44.89,0,0.0,0.0,0,0.0042,0,0.0027,0,0.0017,0,0.0217
146.70.204.179,0,0.0,0.0,0,0.0002,0,0.0001,0,0.0,0,0.0
146.70.57.34,0,0.0,0.0,0,0.0002,0,0.0001,0,0.0,0,0.0
146.71.50.198,0,0.0,4.0,0,0.0109,0,0.041,0,0.278,1,0.9236
149.102.250.14,0,0.0,0.0,0,0.0012,0,0.0033,0,0.0011,0,0.0104
149.154.167.220,0,0.0,0.0,0,0.006,0,0.0068,0,0.0087,0,0.1021
