indicator,prediction,confidence,seen_score,unseen_risk,high_activity_not_seen_ratio,seen_gap_mean,rolling_seen_ratio_14d,seen_streak,likelihood_score
107.180.119.251,0,0.008048013,-0.6867768595041324,127.97355371900828,0.9917355371900828,0.0,0.0714285714285714,0,0.996
190.92.174.92,0,0.00849789,-0.7867768595041325,128.27355371900828,0.9917355371900828,0.0,0.0714285714285714,0,0.996
104.21.3.76,0,0.010074406,-4.886776859504133,140.57355371900826,0.9917355371900828,0.0,0.0,0,0.996
149.102.250.14,0,0.010759431,-3.5867768595041323,136.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
146.70.57.34,0,0.0018298922,-9.986776859504133,175.4735537190083,0.9917355371900828,0.0,0.0,0,0.996
149.88.27.231,0,0.0015803702,-9.986776859504133,175.4735537190083,0.9917355371900828,0.0,0.0,0,0.996
190.92.174.36,0,0.008490725,-0.4867768595041324,127.37355371900829,0.9917355371900828,0.0,0.0714285714285714,0,0.996
190.92.174.30,0,0.0016360288,0.7132231404958678,123.77355371900828,0.9917355371900828,0.0,0.0,0,0.996
173.208.96.45,0,0.017078856,-4.7867768595041325,140.27355371900828,0.9917355371900828,0.0,0.0,0,0.996
190.92.174.48,0,0.009352249,-0.7867768595041325,128.27355371900828,0.9917355371900828,0.0,0.0714285714285714,0,0.996
176.113.74.89,0,0.011523664,-0.7867768595041325,128.27355371900828,0.9917355371900828,0.0,0.0714285714285714,0,0.996
185.220.101.149,0,0.0027221513,-10.486776859504133,178.9735537190083,0.9917355371900828,0.0,0.0,0,0.996
191.96.36.115,0,0.01065771,-3.5867768595041323,136.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
190.92.174.129,0,0.0018649945,0.7132231404958678,123.77355371900828,0.9917355371900828,0.0,0.0,0,0.996
79.124.49.226,0,0.010529837,-2.5867768595041323,133.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
88.119.174.148,0,0.007839257,-3.5867768595041323,136.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
international.standardbank.com/,0,0.005381757,-9.086776859504132,169.17355371900828,0.9917355371900828,0.0,0.0,0,0.996
47.237.115.193,0,0.008469256,-0.7867768595041325,128.27355371900828,0.9917355371900828,0.0,0.0714285714285714,0,0.996
5.79.110.170,0,0.003129031,-7.686776859504132,159.37355371900827,0.9917355371900828,0.0,0.0,0,0.996
62.173.38.206,0,0.012172452,-3.686776859504133,136.9735537190083,0.9917355371900828,0.0,0.0,0,0.996
hcmiu.edu.vn/,0,0.009291568,-5.586776859504132,144.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
66.132.159.247,0,0.009009433,-0.4867768595041324,127.37355371900829,0.9917355371900828,0.0,0.0714285714285714,0,0.996
70.39.115.74,0,0.008686216,-3.9867768595041326,137.87355371900827,0.9917355371900828,0.0,0.0,0,0.996
70.39.120.10,0,0.0028197262,0.3132231404958676,124.97355371900828,0.9917355371900828,0.0,0.0,0,0.996
45.142.193.106,0,0.010428786,-3.186776859504133,135.4735537190083,0.9917355371900828,0.0,0.0,0,0.996
31.31.196.208,0,0.0026034417,-10.486776859504133,178.9735537190083,0.9917355371900828,0.0,0.0,0,0.996
213.229.107.11,0,0.009476089,-0.3867768595041323,127.07355371900827,0.9917355371900828,0.0,0.0714285714285714,0,0.996
23.106.56.54,0,0.012767093,-3.5867768595041323,136.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
216.24.57.253,0,0.0009465565,0.6132231404958677,124.07355371900827,0.9917355371900828,0.0,0.0,0,0.996
20.48.204.4,0,0.008555511,-0.7867768595041325,128.27355371900828,0.9917355371900828,0.0,0.0714285714285714,0,0.996
207.244.89.161,0,0.012771006,-3.5867768595041323,136.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
208.87.233.190,0,0.0019345584,-8.786776859504133,167.07355371900826,0.9917355371900828,0.0,0.0,0,0.996
20.233.253.125,0,0.011722937,-4.886776859504133,140.57355371900826,0.9917355371900828,0.0,0.0,0,0.996
79.127.211.213,0,0.015562294,-4.086776859504132,138.17355371900828,0.9917355371900828,0.0,0.0,0,0.996
62.233.57.136,0,0.011163431,-3.5867768595041323,136.67355371900828,0.9917355371900828,0.0,0.0,0,0.996
45.142.193.183,0,0.022695977,-1.573553719008265,132.34710743801654,0.9834710743801652,1.0,0.0,0,0.983
45.142.193.66,0,0.02156467,-2.273553719008265,134.44710743801653,0.9834710743801652,1.0,0.0,0,0.983
149.88.17.131,0,0.020653894,-4.6735537190082646,143.84710743801654,0.9834710743801652,1.0,0.0,0,0.983
61.95.255.74,0,0.0311922,-1.560330578512397,133.22066115702478,0.975206611570248,1.5,0.0,0,0.974
146.70.204.179,0,0.002749215,-7.260330578512397,166.12066115702478,0.975206611570248,1.5,0.0,0,0.974
45.142.193.247,0,0.038303003,-0.9603305785123966,131.4206611570248,0.975206611570248,1.5,0.0,0,0.974
45.142.193.141,0,0.017978411,-1.1603305785123967,131.62066115702478,0.975206611570248,2.5,0.0,0,0.964
66.22.212.131,0,0.0012227509,6.392561983471075,117.01487603305785,0.9421487603305784,1.0,0.0,0,0.964
113.96.236.11,0,0.05194867,-0.033884297520661,131.06776859504134,0.9586776859504132,1.75,0.0,0,0.964
216.24.57.3,0,0.0031396046,1.3264462809917354,122.64710743801652,0.9834710743801652,3.0,0.0,0,0.963
45.142.193.207,0,0.02183426,-1.0603305785123966,131.12066115702478,0.975206611570248,3.0,0.0,0,0.959
45.142.193.149,0,0.022694474,-1.1603305785123963,130.8206611570248,0.975206611570248,3.0,0.0,0,0.959
198.54.116.45,0,0.0030315192,1.4264462809917355,122.14710743801652,0.9834710743801652,4.0,0.0,0,0.953
192.124.249.112,0,0.13917288,6.205785123966942,115.08842975206612,0.9338842975206612,1.8571428571428572,0.2857142857142857,2,0.952
45.142.193.51,0,0.057542443,1.366115702479339,125.66776859504132,0.9586776859504132,3.25,0.0,0,0.949
pub.marq.com/,0,0.055617645,1.6661157024793392,123.36776859504133,0.9586776859504132,3.5,0.0714285714285714,0,0.946
www.emergencylighting.com/,0,0.020913513,-5.260330578512397,152.12066115702478,0.975206611570248,7.0,0.0,0,0.919
178.175.129.37,0,0.27283993,11.198347107438018,104.90330578512396,0.8760330578512396,2.5,0.3571428571428571,0,0.919
102.165.16.161,0,0.07144083,2.379338842975207,119.3413223140496,0.950413223140496,6.0,0.0714285714285714,0,0.918
23.26.221.21,0,0.051440377,1.5322314049586785,135.13553719008266,0.9173553719008264,5.0,0.0,0,0.913
23.26.221.16,0,0.047331464,1.432231404958678,135.83553719008265,0.9173553719008264,5.0,0.0,0,0.913
23.26.221.25,0,0.10581516,3.471900826446281,132.65619834710745,0.8925619834710744,3.8333333333333335,0.0,0,0.913
77.75.73.61,0,0.02166948,-2.673553719008265,133.64710743801652,0.9834710743801652,8.0,0.0,0,0.913
23.26.221.6,0,0.03628801,-0.6942148760330582,139.58842975206613,0.9338842975206612,5.857142857142857,0.0,0,0.912
23.26.221.26,0,0.035675198,-1.2074380165289256,140.41487603305785,0.9421487603305784,6.333333333333333,0.0,0,0.911
23.26.221.31,0,0.065730475,2.6586776859504138,134.18264462809918,0.9008264462809916,4.454545454545454,0.0,0,0.911
23.26.221.13,0,0.048868995,1.432231404958678,133.03553719008266,0.9173553719008264,5.333333333333333,0.0,0,0.909
37.46.115.17,0,0.057028532,4.911570247933884,135.07685950413224,0.8677685950413223,3.3333333333333335,0.0,0,0.907
23.26.221.20,0,0.068000115,1.3322314049586783,135.13553719008266,0.9173553719008264,5.555555555555555,0.0,0,0.907
23.26.221.22,0,0.049006086,1.132231404958678,136.53553719008266,0.9173553719008264,5.666666666666667,0.0,0,0.906
23.26.221.27,0,0.08620039,4.385123966942149,131.8297520661157,0.8842975206611571,4.230769230769231,0.0,0,0.906
23.26.221.17,0,0.051486056,0.6190082644628099,135.9619834710744,0.9256198347107438,6.125,0.0,0,0.905
23.26.221.29,0,0.06108987,-0.5942148760330577,138.88842975206612,0.9338842975206612,6.571428571428571,0.0,0,0.905
23.26.221.28,0,0.009872791,4.98512396694215,131.8297520661157,0.8842975206611571,4.384615384615385,0.0,0,0.904
23.26.221.18,0,0.078983314,2.7586776859504143,133.4826446280992,0.9008264462809916,5.090909090909091,0.0,0,0.904
23.26.221.19,0,0.03711021,-1.8206611570247933,139.1413223140496,0.950413223140496,7.4,0.0,0,0.904
23.26.221.2,0,0.021679414,4.385123966942149,131.8297520661157,0.8842975206611571,4.461538461538462,0.0,0,0.903
