Indicator,Observed Today,Frequency (7d),Frequency (30d),Probability: Today,Confidence: Today,Probability: 7-Day,Confidence: 7-Day,Probability: 14-Day,Confidence: 14-Day,Probability: 30-Day,Confidence: 30-Day
102.90.61.13,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
102.91.94.193,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
103.108.231.67,0,0.0,1.0,0.05%,Today: Low confidence,6.45%,7-Day: Low confidence,11.71%,14-Day: Low confidence,42.21%,30-Day: Low confidence
103.133.107.28,1,5.0,14.0,72.82%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
103.147.185.248,1,4.0,8.0,57.51%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
103.149.249.226,0,0.0,0.0,0.0%,Today: Low confidence,0.07%,7-Day: Low confidence,0.31%,14-Day: Low confidence,2.32%,30-Day: Low confidence
103.153.78.59,0,0.0,2.0,0.43%,Today: Low confidence,19.61%,7-Day: Low confidence,79.6%,14-Day: Low confidence,100.0%,30-Day: Low confidence
103.156.92.159,0,5.0,9.0,64.46%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
103.163.118.122,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
103.194.47.162,1,7.0,20.0,95.84%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
103.207.37.51,0,3.0,5.0,18.48%,Today: Possibly active,99.66%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
103.225.136.166,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
103.70.114.33,0,0.0,2.0,0.03%,Today: Low confidence,12.53%,7-Day: Low confidence,24.54%,14-Day: Low confidence,66.82%,30-Day: Low confidence
103.77.192.88,0,0.0,1.0,0.3%,Today: Low confidence,7.53%,7-Day: Low confidence,16.44%,14-Day: Low confidence,47.96%,30-Day: Low confidence
104.128.161.233,0,6.0,29.0,82.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
104.129.24.124,0,0.0,0.0,0.02%,Today: Low confidence,0.44%,7-Day: Low confidence,2.17%,14-Day: Low confidence,11.21%,30-Day: Low confidence
104.152.52.105,1,7.0,21.0,92.93%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
104.152.52.110,1,7.0,22.0,95.29%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
